Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Eagle_12BH611-GR,1,Battery,
C1,CP_Elec_6.3x7.7,1,470uF,C335982
"C10, C11",C_0402_1005Metric,2,10uF,C13585
C12,C_0402_1005Metric,1,NC,C13585
"C2, C3",C_0402_1005Metric,2,22uF,C1525
"C4, C6, C7",C_0402_1005Metric,3,100nF,C2857965
C5,C_0402_1005Metric,1,180nF,C458937
C8,C_0402_1005Metric,1,"0,1uF",
C9,C_1206_3216Metric,1,560nF,C717022
D1,LED_0805_2012Metric,1,PWD,
L1,L_Wuerth_WE-GF-1210,1,2.2uH,C98016
M1,PinHeader_1x03_P2.54mm_Horizontal,1,Motor_Servo,C92159
R1,R_0402_1005Metric,1,82,
"R2, R3",R_0402_1005Metric,2,10K,C60490
R4,R_0402_1005Metric,1,6.8K,C114632
R5,R_0402_1005Metric,1,5K,C60490
"RV1, RV2, RV3, RV4",POT,4,5K,C118903
RV5,POT,1,2K,C118929
RV6,POT,1,100K,C118966
"SW1, SW2, SW3, SW4",SW_SPST_PTS645,4,SW_Push,C285468
SW5,SW_E-Switch_EG1271_DPDT,1,SW_DPDT_x2,C273396
U1,SOT-23-6,1,TPS562200,C49757
"U2, U3",SOIC-8_3.9x4.9mm_P1.27mm,2,NE555D,C7593
